Year,Education_Index,GDP,Unemployment_Female
1990,0.663,3492.71,5.2
1991,0.664,3490.45,5.2
1992,0.662,3098.8,5.2
1993,0.658,2930.67,5.8
1994,0.656,2662.1,7.9
1995,0.662,2665.78,9.2
1996,0.674,2643.93,9.3
1997,0.682,2737.57,11.4
1998,0.694,1834.86,12.9
1999,0.705,1330.76,12.9
2000,0.724,1771.59,10.4
2001,0.735,2100.35,8.6
2002,0.746,2377.53,7.6
2003,0.757,2975.13,7.9
2004,0.76,4102.36,7.5
2005,0.762,5323.46,6.9
2006,0.764,6920.19,6.7
2007,0.767,9101.25,5.6
2008,0.77,11635.27,5.9
2009,0.763,8562.81,7.7
2010,0.772,10675,6.8
2011,0.783,14311.08,6.1
2012,0.793,15420.88,5.1
2013,0.794,15974.64,5.1
2014,0.801,14095.65,4.8
2015,0.804,9313.01,5.3
2016,0.815,8704.9,5.3
2017,0.823,10720.33,5.1
2018,0.823,11287.36,4.8
2019,0.823,11536.25,4.3
