Year,Education_Index,GDP,Unemployment_Female
1990,0.592,463.6187388,22.8
1991,0.6,513.2584475,22.6
1992,0.608,547.0545344,21.9
1993,0.606,576.7798839,20.5
1994,0.625,647.5791564,19.3
1995,0.633,714.2332315,17.8
1996,0.642,756.6569905,16.5
1997,0.652,817.0644817,13.7
1998,0.661,850.8116039,13.4
1999,0.67,838.8834628,11.4
2000,0.679,869.696285,11.5
2001,0.689,832.8035723,12.9
2002,0.692,867.4914868,12.9
2003,0.698,982.195697,12.9
2004,0.704,1065.784437,11.9
2005,0.71,1248.698185,9.7
2006,0.716,1435.816813,9
2007,0.721,1630.388906,8
2008,0.738,2037.322103,8.6
2009,0.738,2090.401826,7.4
2010,0.739,2799.648738,6.9
2011,0.743,3200.861132,6.1
2012,0.744,3350.521876,6.4
2013,0.747,3610.289363,6.3
2014,0.749,3819.25353,7.3
2015,0.751,3843.780672,6.7
2016,0.735,3886.291502,6.2
2017,0.736,4077.043841,6.9
2018,0.741,4059.20823,7.3
2019,0.746,3848.212376,7.5
